,frame
83,LEVEL01PLAYER220610BULLET-1-101ENEMY_WEAK-1-100061502061902ENEMY_STRONG031104031504031904ENEMY_UFO-1-105BOMB111602
84,LEVEL01PLAYER220610BULLET-1-101ENEMY_WEAK-1-100061502061902ENEMY_STRONG031104031504031904ENEMY_UFO000405BOMB111602
85,LEVEL01PLAYER220610BULLET-1-101ENEMY_WEAK-1-100061602062002ENEMY_STRONG031204031604032004ENEMY_UFO000305BOMB111602
86,LEVEL01PLAYER220610BULLET-1-101ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB111602
87,LEVEL01PLAYER220710BULLET-1-101ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB111602
88,LEVEL01PLAYER220710BULLET-1-101ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB121602
89,LEVEL01PLAYER220710BULLET-1-101ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB131602
90,LEVEL01PLAYER220810BULLET-1-101ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB131602
91,LEVEL01PLAYER220810BULLET-1-101ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB141602
92,LEVEL01PLAYER220810BULLET-1-101ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB151602
93,LEVEL01PLAYER220810BULLET211001ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB161602
94,LEVEL01PLAYER220810BULLET201001ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB161602
95,LEVEL01PLAYER220810BULLET201001ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB171602
96,LEVEL01PLAYER220810BULLET191001ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB171602
97,LEVEL01PLAYER220710BULLET191001ENEMY_WEAK-1-100071502071902ENEMY_STRONG041104041504041904ENEMY_UFO000305BOMB171602
98,LEVEL01PLAYER220710BULLET181001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000205BOMB181602
